,Country,City name,Lat,Lng,Clouds,Mean_T,Feels_like_T,Max_T,Min_T,Wind speed,Humidity,Pressure
0,US,Albany,42.6,-73.97,90,282.68,276.81,285.15,279.82,5.7,54,1003
1,ZA,Hermanus,-34.42,19.23,6,287.9,286.48,288.15,287.59,2.24,75,1012
2,BR,Barra dos Coqueiros,-10.91,-37.04,58,301.15,302.86,301.15,301.15,4.1,69,1011
3,AU,Flinders,-34.58,150.86,75,293.66,291.49,294.82,293.15,5.1,68,1027
4,JP,Nishihara,26.18,127.76,75,293.69,292.23,294.15,293.15,4.1,68,1017
5,AU,New Norfolk,-42.78,147.06,11,285.06,280.87,288.71,282.59,4.6,66,1028
6,US,Grants,35.15,-107.85,40,293.15,286.7,293.15,293.15,4.6,10,1018
7,RU,Tiksi,71.69,128.87,61,262.71,257.61,262.71,262.71,2.8,94,1019
8,BR,Castro,-24.79,-50.01,0,287.38,284.82,287.38,287.38,1.68,49,1016
9,CK,Avarua,-21.21,-159.78,75,303.15,304.36,303.15,303.15,9.3,84,1011
10,US,Hilo,19.73,-155.09,90,295.74,295.08,299.15,288.71,3.6,65,1015
11,PF,Rikitea,-23.12,-134.97,80,297.94,299.21,297.94,297.94,4.23,80,1015
12,GL,Qaanaaq,77.48,-69.36,100,262.57,256.8,262.57,262.57,3.59,83,1025
13,US,Kapaa,22.08,-159.32,40,298.96,298.94,300.15,298.15,5.1,69,1015
14,AU,Codrington,-38.27,141.97,6,288.88,286.42,288.88,288.88,4.1,75,1027
15,PF,Atuona,-9.8,-139.03,25,301.31,302.8,301.31,301.31,6.14,78,1012
16,VN,Phan Thiet,10.93,108.1,95,299.74,304.02,299.74,299.74,1.58,82,1014
17,RU,Ust-Maya,60.42,134.53,100,274.2,270.5,274.2,274.2,2.36,90,1027
18,RU,Bilibino,68.05,166.44,98,262.05,257.22,262.05,262.05,2.27,88,1016
19,JP,Nakatsugawa,35.48,137.5,0,287.32,284.36,288.71,285.37,1.48,39,923
20,PG,Port Moresby,-9.44,147.18,40,303.15,305.91,303.15,303.15,5.1,74,1013
21,RU,Srednekolymsk,67.45,153.68,85,258.3,252.64,258.3,258.3,3.2,91,1027
22,RU,Saskylakh,71.92,114.08,98,270.91,266.09,270.91,270.91,3.54,97,1011
23,RU,Pevek,69.7,170.31,100,255.69,249.79,255.69,255.69,3.39,92,1016
24,CO,Cravo Norte,6.3,-70.2,96,304.83,308.5,304.83,304.83,0.45,52,1008
25,CA,Tuktoyaktuk,69.45,-133.04,20,261.15,253.74,261.15,261.15,5.7,72,1014
26,MU,Bambous Virieux,-20.34,57.76,69,298.71,302.29,298.71,298.71,1.79,82,1017
27,BR,Arraial do Cabo,-22.97,-42.03,95,296.05,294.88,296.05,296.05,6.07,77,1016
28,AU,Busselton,-33.65,115.33,24,296.41,293.56,297.59,294.26,3.45,38,1008
29,NZ,Mataura,-46.19,168.86,100,285.37,282.23,285.37,285.37,4.47,85,1013
30,IS,Husavik,66.04,-17.34,1,268.15,258.57,268.15,268.15,9.3,67,1024
31,RU,Dikson,73.51,80.55,100,272.45,261,272.45,272.45,13.32,98,985
32,CL,Punta Arenas,-53.15,-70.92,20,285.77,281.53,286.15,285.15,4.6,62,1001
33,RU,Lavrentiya,65.58,-171,4,261.1,255.21,261.1,261.1,3.72,89,1015
34,ZA,Port Elizabeth,-33.92,25.57,70,290.15,288.16,290.15,290.15,4.6,82,1023
35,AR,Ushuaia,-54.8,-68.3,7,293.15,290.41,293.15,293.15,1.5,30,998
36,AO,Camacupa,-12.02,17.48,12,289.42,287.92,289.42,289.42,1.83,62,1015
37,TR,Sinop Province,41.77,34.87,0,276.14,272.76,276.14,276.14,1.54,68,1020
38,US,Jamestown,42.1,-79.24,1,282.73,279.86,284.15,280.37,2.1,66,1005
39,TJ,Varzob,38.77,68.82,90,273.15,267.34,273.15,273.15,4,49,1030
40,NZ,Bluff,-46.6,168.33,100,285.37,282.23,285.37,285.37,4.47,85,1013
